Date,Traditional Portfolio,Bitcoin Portfolio,Ethereum Portfolio,Alpha Portfolio
2016-01-05,0.0020393989335272702,0.0017119502560679844,0.001522172907194519,0.00031262033859297717
2016-01-06,3.232071848496868e-05,-0.001191726221641087,-0.0004588033465508283,0.001979382949984768
2016-01-07,-0.006734139200007982,0.0004050657599780521,-0.007271163841626104,-0.0006945127022253866
2016-01-08,-0.006872548113258292,-0.008311225239244059,-0.002505257055978993,0.0007813124807124701
2016-01-11,-0.0035136852022347623,-0.004122422249745328,0.00451834034944658,0.001474462701227239
2016-01-12,0.0028528926880113325,-0.0008304912200699735,0.009489376641284443,0.008988051580633262
2016-01-13,-0.01004007787819669,-0.011274499580298514,-0.011897469638105385,-0.005091163641963768
2016-01-14,0.001327719764922913,0.001237293671241857,0.0074374314459487055,0.0034255076913329843
2016-01-15,-0.005903579784139378,-0.021949455383055063,-0.00506890883874298,-0.009687598860175438
2016-01-19,0.0001413400724131819,0.0046229068905355945,0.013805974866871986,0.01332732321569617
2016-01-20,-0.0004833667162703277,0.009483144390228317,0.010637990147662103,0.01863130076090846
2016-01-21,0.0029019364214144584,0.0008844731701464159,0.004676391373880185,-0.0004589424740795745
2016-01-22,0.008466333986618668,0.001630820470741045,0.005033223302316424,-0.002964541782920492
2016-01-25,-0.0032781722488852633,-0.001029811087831122,0.06303306787644225,0.05383293717720916
2016-01-26,0.011407965283614485,0.011493162749938834,0.0024655532470258096,-0.0009793608272722263
2016-01-27,-0.004193706372969741,-0.0032314842266504495,0.0009776927375803716,0.0015012317443624105
2016-01-28,-0.0017927233479843264,-0.005384429957101533,0.0041080966501851005,0.001039730407984907
2016-01-29,0.014710135428265736,0.013513676656427165,0.012480011435441852,0.009912477471429837
2016-02-01,0.00337975955245709,0.0022421146930620807,-0.007420286135381327,-0.010413717251834582
2016-02-02,-0.008001068427607255,-0.008489889047728062,0.0014435752818245614,0.00797007812971562
2016-02-03,0.006076509725631869,0.006088706794038646,0.010940335582747051,0.0014565628718579506
2016-02-04,0.005437933388651145,0.010927255880942455,0.007568670920721888,0.008017025765093735
2016-02-05,-0.002845668607374052,-0.003975823142216672,-0.004708961221524498,-0.00258627868147318
2016-02-08,-0.0005140689001780825,-0.004742494603672597,0.02388537239481251,0.021325928699874718
2016-02-09,-0.0010571958386713155,-0.00016015510012992173,0.026346784975255402,0.02129684237704509
2016-02-10,0.003014671816961712,0.004162293332794065,0.012350172977751485,0.0119427113285031
