,BTC,ETH,SPY,TLT,GLD,USD,XLE,XLF
2016-01-04,433.091003,0.9544799999999999,201.02000427246094,102.88999938964844,121.44999694824219,98.87000274658203,60.29999923706055,18.98456573486328
2016-01-05,431.959991,0.950176,201.36000061035156,103.18000030517578,120.95999908447266,99.4000015258789,60.529998779296875,19.057676315307617
2016-01-06,429.10501100000005,0.95086,198.82000732421875,104.66999816894531,122.58999633789062,99.18000030517578,58.20000076293945,18.76523208618164
2016-01-07,458.048004,0.942005,194.0500030517578,106.1500015258789,122.80999755859375,98.22000122070312,56.779998779296875,18.237205505371094
2016-01-08,453.23001100000005,0.9867889999999999,191.9199981689453,105.68000030517578,123.36000061035156,98.54000091552734,56.04999923706055,17.952884674072266
2016-01-11,448.428009,1.0616,192.11000061035156,104.73999786376953,122.01000213623047,98.7300033569336,54.849998474121094,17.97725486755371
2016-01-12,435.69000199999994,1.141,193.66000366210938,104.20999908447266,123.7699966430664,98.97000122070312,54.97999954223633,18.115352630615234
2016-01-13,432.371002,1.1252,188.8300018310547,104.72000122070312,124.98999786376953,98.93000030517578,53.65999984741211,17.64419174194336
2016-01-14,430.306,1.18959,191.92999267578125,103.0199966430664,123.81999969482422,99.08999633789062,55.970001220703125,17.798538208007812
2016-01-15,364.330994,1.20801,187.80999755859375,104.08000183105469,125.75,98.95999908447266,54.349998474121094,17.400487899780273
2016-01-19,380.14898700000003,1.3713899999999999,188.05999755859375,103.9800033569336,125.36000061035156,98.98999786376953,53.18000030517578,17.392364501953125
2016-01-20,420.23001100000005,1.5318200000000002,185.64999389648438,105.37000274658203,126.68000030517578,99.08999633789062,51.77000045776367,17.051177978515625
2016-01-21,410.261993,1.5535700000000001,186.69000244140625,105.48999786376953,125.81999969482422,99.05999755859375,53.380001068115234,16.97806739807129
2016-01-22,382.492004,1.50127,190.52000427246094,105.0,125.33999633789062,99.56999969482422,55.7400016784668,17.286758422851562
2016-01-25,391.72601299999997,2.49927,187.63999938964844,106.08000183105469,126.0199966430664,99.36000061035156,53.13999938964844,16.937448501586914
2016-01-26,392.153015,2.27637,190.1999969482422,107.29000091552734,126.08000183105469,99.36000061035156,55.150001525878906,17.221771240234375
2016-01-27,394.971985,2.38855,188.1300048828125,107.69000244140625,126.05000305175781,98.9000015258789,54.88999938964844,17.156782150268555
2016-01-28,380.289001,2.5264900000000003,189.11000061035156,106.54000091552734,126.2300033569336,98.51000213623047,56.560001373291016,17.164907455444336
2016-01-29,379.47399900000005,2.49496,193.72000122070312,106.94999694824219,127.30000305175781,99.61000061035156,58.209999084472656,17.64419174194336
2016-02-01,373.056,2.21169,193.64999389648438,108.05000305175781,126.66999816894531,99.0,57.2400016784668,17.57107925415039
2016-02-02,374.447998,2.4396400000000003,190.16000366210938,108.08999633789062,129.02000427246094,98.87000274658203,55.33000183105469,17.08367156982422
2016-02-03,369.949005,2.52869,191.3000030517578,109.25,127.94999694824219,97.29000091552734,57.29999923706055,17.099918365478516
2016-02-04,389.593994,2.57804,191.60000610351562,110.56999969482422,128.57000732421875,96.47000122070312,57.27000045776367,17.24614143371582
2016-02-05,386.549011,2.53899,187.9499969482422,112.31999969482422,128.72000122070312,97.02999877929688,55.939998626708984,17.01868438720703
2016-02-08,373.446991,3.17979,185.4199981689453,113.83000183105469,131.49000549316406,96.56999969482422,55.650001525878906,16.5881404876709
2016-02-09,376.028992,4.04464,185.42999267578125,113.58000183105469,131.6300048828125,96.06999969482422,54.310001373291016,16.56376838684082
2016-02-10,381.64898700000003,4.43626,185.27000427246094,114.45999908447266,132.7899932861328,95.88999938964844,54.09000015258789,16.474411010742188
2016-02-11,379.653992,6.0131,182.86000061035156,119.05999755859375,133.72000122070312,95.55999755859375,53.86000061035156,15.970754623413086
2016-02-12,384.26300000000003,5.5469800000000005,186.6300048828125,118.36000061035156,131.5,95.9800033569336,55.279998779296875,16.645004272460938
2016-02-16,407.488007,4.31529,189.77999877929688,114.7699966430664,130.11000061035156,96.87000274658203,55.83000183105469,16.91307830810547
2016-02-17,416.321991,3.7572400000000004,192.8800048828125,115.4800033569336,129.30999755859375,96.79000091552734,57.65999984741211,17.140535354614258
2016-02-18,422.372986,4.39913,192.08999633789062,118.29000091552734,130.89999389648438,96.94999694824219,56.939998626708984,17.043054580688477
2016-02-19,420.785004,4.73789,192.0,117.58000183105469,131.00999450683594,96.5999984741211,56.810001373291016,17.043054580688477
2016-02-22,437.747986,5.6165,194.77999877929688,115.48999786376953,130.94000244140625,97.37999725341797,58.2599983215332,17.311128616333008
